"user.self"	"sys.self"	"elapsed"	"num_rows"
14.3499999999999	0.780000000000001	16.3000000000002	10000
31.6799999999998	0.509999999999991	31.96	100000
37.48	0.890000000000015	37.54	150000
45.8400000000001	0.769999999999982	46.4099999999999	200000
54.8600000000001	0.969999999999999	56.6800000000003	300000
73.5	1.52000000000001	77.0900000000001	500000
101.57	2.38999999999999	106.16	1000000
112.85	3.91	123.65	1500000
121.2	4.98999999999998	138.2	2000000
127.33	6.40000000000001	150.44	2500000
135.69	16.88	158.96	3000000
147.03	18.37	176.32	3500000
161.360000000001	21.37	196.47	4000000
177.16	31.92	209.18	4500000
